strategy_id,strategy_name,goal,audience,trigger_channel,offer_or_action,ab_design,core_metrics,secondary_metrics,status,start_date_est,end_date_est,owner,notes
STR-2026-0325-01,上月新客召回,提升次月复购,上月新客本月未复购,触达,1.99/2.99+优惠触达,对照+实验,来访率;下单率;杯量,频次;券核销率,running,2026-03-25,,xiaoxiao,"美东3/25周三生效"
STR-2026-0326-01,0326时段实验,优化触达效率,全用户16天+未下单,工作日/周末触达,工作日8:00vs9:00;0401工作日7:00vs7:30vs8:00;周末9:00vs10:00,0326工作日:空白20%/8:00 40%/9:00 40%;0401工作日:空白10%/7:00 30%/7:30 30%/8:00 30%;周末:空白20%/9:00 40%/10:00 40%,来访率;杯量,触达链路转化,iterating,2026-03-26,,xiaoxiao,"与“触达时间优化AB”合并为同一项目;固定人群避免混组,每日手调文案;0401工作日因8:00优于9:00,继续前探7:00/7:30/8:00新时段"
STR-2026-0327-01,周末提频支付返弹窗,提升周末下单,全部用户(触发点:支付后弹窗),支付返弹窗,周四/周五发周六/周日券(当周六日可用),空白20%/分享有礼支付后弹窗40%/周末提频支付后弹窗40%,周末来访率;下单用户数;杯量,频次;券使用率,running,2026-03-27,,xiaoxiao,"实验编号LKUSTM119091353413230593;每周周四+周五上线;本次为3/27启动版本"
STR-2026-0325-02,低频任务一周3杯,提升低频用户活跃,低频用户,任务体系,一周3杯任务,实验观察,任务完成率;杯量,来访率;频次,running,2026-03-25,,xiaoxiao,"美东3/25周三生效"
STR-2026-0326-02,分享有礼,提升裂变点击,裂变触达人群,分享有礼相关资源位,更换创意素材与资源位更新,AB或前后对比,裂变点击率,后链路转化,running,2026-03-26,,xiaoxiao,"与“裂变素材优化”合并同一项目并统一命名为分享有礼;美东3/26周四生效"
STR-2026-0401-01,滚动培养,降低触达耦合并持续培养,生命周期用户,生命周期触达,0403按生命周期触达文案执行滚动培养活动;0410在此基础上追加1-2单/2-3单塞券AB,0403基础实验:实验组尾号0/1/4/6/8;对照组尾号2/3/5/7/9;整体约50%实验流量;0410塞券AB:0410_1_2单5折2.99+0410_2_3单,杯量;单杯实收;总实收;人均频次;新客留存率D7/D14/D30;1单到2单转化率;2单到3单转化率,成熟度结构迁移;D7/D14/D20/D31/D41/D51/D61留存转化;触达到来访到下单链路;券核销率;退订率,running,2026-04-03,,xiaoxiao,"2026-04-03上线基础生命周期触达;策略文案见operations-运营分析/output-产出/docs/luckin-lifecycle-touch-copy-生命周期触达文案.xlsx;2026-04-10追加塞券AB:0410_1_2单5折2.99(LKUSTM119173134019731456/LKUSTL119173129120784384),0410_2_3单(LKUSTM119173140395073536/LKUSTL119173135361826816);两个0410实验均100%进流量、已启用、已开始;0403基础实验已有口径污染风险,后续分析必须按生命周期节点和0410塞券AB拆分"
STR-2026-0401-02,沉默领券专题,激活沉默用户,沉默用户,待定,待讨论,待定,激活率;回流率,成本效率,planned,2026-03-30,,xiaoxiao,"下周一讨论"
STR-2026-0403-01,沉默31天首页塞券弹窗,激活沉默用户回流,沉默31天以上用户,首页弹窗,首页塞3折券包并循环周投放,实验组尾号2/5;对照组尾号1/3/4/6/7/8/9/0,来访率;下单率;杯量,券核销率;总实收;单杯实收;人均频次,running,2026-04-03,,xiaoxiao,"人群包LKUSUG119131510753394688;每周塞1次,每次3张券,最低3折,7天有效,循环塞券"
STR-2026-0410-01,0410涨价实验,验证新一轮分生命周期涨价策略效果,0-15/16-30/31+交易用户+未覆盖用户,定时-周期,按组发放不同折扣券策略,涨价组1/涨价组2/对照组3+未覆盖固定对照;按生命周期拆分活动与客群配置,来访率;下单率;杯量;单杯实收;总实收,频次;券核销率;触达链路转化,running,2026-04-10,,xiaoxiao,"2026-04-10上线;活动编号:LKUSCD119172512591634432(0410未覆盖固定对照组3_2张7折不限品),LKUSCD119172502860644352(0410涨价组1_31+_2.99+5折+6折),LKUSCD119172499975168000(0410涨价组1_16_30_65折+7折),LKUSCD119172495881527296(0410涨价组1_0_15_8折+8折),LKUSCD119172491385233408(0410对照组3_31+_4折+2.99+5折),LKUSCD119172489707307008(0410对照组3_16_30_5折+6折),LKUSCD119172486821830656(0410对照组3_0_15_2张7折不限品),LKUSCD119172459709644800(0410涨价组2_0_15_75折*2不限品),LKUSCD119172457360834560(0410涨价组2_16_30_5折+65折),LKUSCD119172453133180928(0410涨价组2_31+_4折+2.99+5折);客群编号:LKUSUG119172416961445888(0411未覆盖用户新),LKUSUG119172111683182592(0410涨价组1_31+交易用户),LKUSUG119172112756924416(0410涨价组1_16_30交易用户),LKUSUG119172113629380608(0410涨价组1_0_15交易用户),LKUSUG119172103093288960(0410对照组3_31+交易用户),LKUSUG119172102220873728(0410对照组3_16_30交易用户),LKUSUG119172104502575104(0410对照组3_0_15交易用户),LKUSUG119172114971516928(0410涨价组2_0_15交易用户),LKUSUG119172115642605568(0410涨价组2_16_30交易用户),LKUSUG119172114367537152(0410涨价组2_31+交易用户)"
